LANDUSE_CODE,CN_A,CN_B,CN_C,CN_D
10000,65,75,82,86
11100,74,83,88,90
11200,61,73,81,84
11300,61,73,81,84
11400,66,76,82,86
11500,60,72,80,84
11600,39,61,74,80
11700,72,81,88,91
11800,65,75,82,86
11900,65,76,84,88
12000,61,73,81,84
12100,61,73,81,84
12200,77,86,91,94
19900,54,72,82,87
20000,52,62,75,81
22100,68,79,86,89
22200,39,61,74,80
23200,77,86,91,94
29900,49,69,79,84
30000,42,61,72,78
33100,40.5,59.5,69.5,76
33200,51,69,79,85
33300,30,50,60,67
33400,42,61,72,78
33500,30,50,60,67
33600,35,55,67,75
34100,48,67,77,83
35100,30,50,60,67
35200,55.5,70.5,79.5,84.5
35200,51,69,79,85
33101,60,72,80,84
33102,50.25,65.75,74.75,80
33103,45.375,62.625,72.125,78
33104,40.5,59.5,69.5,76
33201,54,72,82,87
33202,52.5,70.5,80.5,86
33203,51.75,69.75,79.75,85.5
33204,51,69,79,85
33301,60,72,80,84
33302,45,61,70,75.5
33303,37.5,55.5,65,71.25
33304,30,50,60,67
40000,66,78,85,89
44100,89,92,94,95
44200,61,75,83,87
44300,51,68,79,84
50000,60,74,83,87
55100,60.1,74.95,83.2,88.15
55200,59.05,73.9,82.15,86.75
60000,49,69,79,84
66100,43,65,76,82
66200,49,69,79,84
66300,85,90,93,94
66400,63,77,84,89
66500,30,58,71,78
70000,99,99,99,99
77100,99,99,99,99
77200,99,99,99,99
77300,99,99,99,99
88100,77,86,91,94
88200,77,86,91,94
88400,77,86,91,94
99100,77,86,91,94
99200,77,86,91,94
99300,77,86,91,94
